Data,Inflow,Net_evaporation,storage,vol_reg,evap,vol_vert,falha
1912,1241.629,1.5903,11294.826379621267,660.0,179.1686418612352,0.0,0
1913,834.367,1.5903,11698.56775500565,660.0,181.04386140084074,0.0,0
1914,1499.9080000000001,1.5903,18612.711151065494,660.0,267.97889704927087,67.25298967545018,0
1915,169.61499999999998,1.5903,10655.263891455239,660.0,154.01982824727568,0.0,0
1916,532.468,1.5903,7642.829903853484,660.0,122.06250538267555,0.0,0
1917,4126.005,1.5903,19656.559810077386,660.0,304.77432233846963,2016.9914630158364,0
1918,477.406,1.5903,16682.26246495575,660.0,238.95836881474384,0.0,0
1919,0.0,1.5903,8642.619482281212,660.0,124.24157049717198,0.0,0
1920,2126.449,1.5903,15700.554410151279,660.0,253.7699152989826,78.70040153520063,0
1921,1440.277,1.5903,20615.271813554817,660.0,291.8133170892579,486.2460748220103,0
1922,1316.817,1.5903,19515.029401779888,660.0,282.8932173877263,375.80518415183633,0
1923,515.31,1.5903,17002.632824104374,660.0,239.02809662302224,0.0,0
1924,6838.252,1.5903,20072.580477336774,660.0,317.5657625477682,5489.861949551753,0
1925,1973.56,1.5903,20084.988143154103,660.0,284.5055302613088,1155.6976655957847,0
1926,3219.674,1.5903,19823.37018338411,660.0,291.67290509689116,2203.9833490086066,0
1927,224.193,1.5903,13629.228437369993,660.0,192.97738968507366,0.0,0
1928,271.445,1.5903,6481.987516877402,660.0,100.94161973537508,0.0,0
1929,416.52299999999997,1.5903,2637.5331220632224,608.0954003947586,45.38235917390261,0.0,1
1930,404.638,1.5903,1037.3187958013013,384.66511782941245,19.972882170587514,0.0,6
1931,265.862,1.5903,260.6094951183157,259.9862274212078,5.875772578792252,0.0,8
1932,18.138,1.5903,0.0,17.956993300638104,0.1810066993618987,0.0,12
1933,980.1179999999999,1.5903,5277.210955408321,504.01831105415505,101.43203181688119,0.0,3
1934,1924.03,1.5903,16567.374928955636,660.0,256.0020149608755,24.315652989582077,0
1935,2171.6710000000003,1.5903,20153.92041724751,660.0,294.1705581223835,1127.2879573205046,0
1936,55.066,1.5903,13310.641341956429,660.0,185.65928546147035,0.0,0
1937,356.80400000000003,1.5903,6792.94379817742,660.0,106.80782961365323,0.0,0
1938,135.507,1.5903,1053.7704908390783,368.2730354187423,15.229323241751537,0.0,6
1939,607.0649999999999,1.5903,2041.7096896945511,566.4441935083571,40.620806491642945,0.0,2
1940,1201.337,1.5903,7289.825489609601,550.0,128.86317449338335,0.0,2
1941,659.945,1.5903,7736.093019354125,660.0,125.69753719296892,0.0,0
1942,50.524,1.5903,1764.6327564996893,423.4662977340831,23.77899057956463,0.0,5
1943,387.185,1.5903,849.3117521103813,370.87483686385895,16.310163136141067,0.0,6
1944,461.337,1.5903,524.2376320200281,389.9550022853262,15.238258668578444,0.0,6
1945,1442.934,1.5903,9356.389699147225,660.0,161.33111269981964,0.0,0
1946,231.624,1.5903,6019.475554971424,660.0,93.07421158479202,0.0,0
1947,4134.499,1.5903,15390.10550566356,660.0,264.78384364005774,1426.0115711214262,0
1948,754.808,1.5903,21233.50863656963,660.0,289.0730031436246,399.0275435427495,0
1949,341.812,1.5903,14314.550350935133,660.0,204.78086360718024,0.0,0
1950,1642.371,1.5903,16816.051521728412,660.0,259.3678671649063,179.46564324115752,0
1951,93.261,1.5903,12593.676318289095,660.0,178.03968805138905,0.0,0
1952,143.46699999999998,1.5903,4601.097951916,660.0,69.77181648437515,0.0,0
1953,117.835,1.5903,83.40751334990921,151.78925680448089,2.2383179601366914,0.0,11
1954,81.44500000000001,1.5903,0.0,80.68389293816209,0.7611070618379093,0.0,12
1955,745.7429999999999,1.5903,3111.684422434807,612.1638897237524,60.60436561685901,0.0,1
1956,1182.6009999999999,1.5903,7033.668001724188,660.0,125.54991802615804,0.0,0
1957,1012.701,1.5903,9702.210477100425,660.0,160.1481423816353,0.0,0
1958,11.611,1.5903,4031.4761741687994,616.7912940772649,57.39839017433039,0.0,1
1959,256.451,1.5903,164.89569265262338,251.83855736816628,4.6124426318337175,0.0,8
1960,2495.13,1.5903,15105.245798884895,550.0,239.05765477799656,414.8543221273958,2
1961,653.04,1.5903,16489.56105904673,660.0,235.47419649445106,0.0,0
1962,348.098,1.5903,11005.276176999232,660.0,163.19174190582527,0.0,0
1963,1174.471,1.5903,12319.897151297782,660.0,192.60580070290973,0.0,0
1964,2518.75,1.5903,18734.464591624746,660.0,288.64592896469634,918.0864539335676,0
1965,963.943,1.5903,19726.710582174786,660.0,280.6118794262491,187.1542615214778,0
1966,393.11199999999997,1.5903,15713.0170105799,660.0,219.9030305454962,0.0,0
1967,1429.893,1.5903,17169.816875561115,660.0,262.3904776412865,18.653511261743688,0
1968,966.349,1.5903,19594.28992996369,660.0,278.78709215432093,25.90223118735662,0
1969,987.315,1.5903,19658.678960923582,660.0,279.8124960124167,47.575943148510305,0
1970,162.45800000000003,1.5903,13503.666709903715,660.0,190.11053151444577,0.0,0
1971,175.435,1.5903,5752.278593869161,660.0,88.18895751867304,0.0,0
1972,22.186,1.5903,243.34923687769265,145.11748233726095,4.056006823919627,0.0,10
1973,989.004,1.5903,4694.748494228929,567.8767532374379,93.84459881125092,0.0,3
1974,6533.206999999999,1.5903,17668.52193115281,660.0,294.8348037944925,4463.253255112944,0
1975,943.973,1.5903,19932.91204754608,660.0,283.1496253867937,19.721591216380602,0
1976,851.366,1.5903,19574.044573543233,660.0,273.99041538538995,26.40562246422428,0
1977,1169.61,1.5903,19366.07340826161,660.0,278.9664567070917,145.52818522663347,0
1978,423.595,1.5903,15608.262062659818,660.0,222.1818537263015,0.0,0
1979,123.20899999999999,1.5903,7992.188709877819,660.0,118.80524593501255,0.0,0
1980,595.408,1.5903,5007.096789731049,660.0,83.78600359085404,0.0,0
1981,1448.039,1.5903,9652.448627978647,660.0,165.0686268733314,0.0,0
1982,150.351,1.5903,6194.394731994736,660.0,94.1118542593948,0.0,0
1983,1.4500000000000002,1.5903,296.7626792540814,153.15685411868623,4.530254153779203,0.0,10
1984,734.092,1.5903,3261.246862768267,525.3821407107577,66.61423092536042,0.0,3
1985,6135.337,1.5903,17000.34579140648,660.0,288.7886181502209,3858.3949510621355,0
1986,2088.728,1.5903,20300.573814458876,660.0,295.09698098120566,1137.5824019035235,0
1987,750.665,1.5903,18901.256960193874,660.0,267.71846551293515,0.0,0
1988,823.4759999999999,1.5903,17183.490043877475,660.0,250.45497296524778,0.0,0
1989,3742.404,1.5903,19131.776024795956,660.0,300.11288472942465,2208.0878438489776,0
1990,444.277,1.5903,20269.0965291475,660.0,276.8568819264142,0.0,0
1991,227.099,1.5903,12637.215621408594,660.0,181.9615195591887,0.0,0
1992,293.546,1.5903,6475.999141283707,660.0,100.48466938723651,0.0,0
1993,176.73899999999998,1.5903,639.8582250186726,367.458378484715,11.368059852655785,0.0,6
1994,2.705,1.5903,0.0,2.670780612528694,0.03421938747130587,0.0,12
1995,1257.669,1.5903,7089.45358806358,550.721302774006,131.20745486416698,0.0,2
1996,507.884,1.5903,6445.733132341833,660.0,109.63006095982979,0.0,0
