Data,Inflow,Net_evaporation,storage,vol_reg,evap,vol_vert,falha
1912,1241.629,1.5903,17631.346987968493,788.4000000000001,254.66963889860955,0.0,0
1913,834.367,1.5903,15723.03437812774,788.4000000000001,228.64365502183296,0.0,0
1914,1499.9080000000001,1.5903,18880.965827930366,788.4000000000001,267.6232839144789,268.14165210105193,0
1915,169.61499999999998,1.5903,8958.200165525337,788.4000000000001,129.44711183580088,0.0,0
1916,532.468,1.5903,4782.382574214438,788.4000000000001,79.48958925962322,0.0,0
1917,4126.005,1.5903,18637.25475546522,788.4000000000001,294.43211391429367,1680.4423413383024,0
1918,477.406,1.5903,15305.701703588189,788.4000000000001,220.5834751231694,0.0,0
1919,0.0,1.5903,6034.0247079345,788.4000000000001,84.94792204241,0.0,0
1920,2126.449,1.5903,13519.008876777665,692.2861377030246,225.93645928084803,0.0,2
1921,1440.277,1.5903,19811.665714574076,788.4000000000001,283.03863057150147,251.45625044159965,0
1922,1316.817,1.5903,18952.13192499231,788.4000000000001,276.4241456760243,253.8710285661034,0
1923,515.31,1.5903,15515.576903087009,788.4000000000001,219.28264059565348,0.0,0
1924,6838.252,1.5903,19486.038354583885,788.4000000000001,310.1506763998744,5260.220407272627,0
1925,1973.56,1.5903,19551.476454883417,788.4000000000001,277.6477887259234,1043.7381439239412,0
1926,3219.674,1.5903,19333.258186406696,788.4000000000001,285.628355732531,2072.021804913019,0
1927,224.193,1.5903,12145.241486377632,788.4000000000001,172.32904658660453,0.0,0
1928,271.445,1.5903,3797.841578536113,760.672582532553,58.250117628611235,0.0,1
1929,416.52299999999997,1.5903,616.5586756752876,404.22071020506996,12.30228979493003,0.0,6
1930,404.638,1.5903,823.9124507440741,389.1567874004837,15.481212599516288,0.0,7
1931,265.862,1.5903,173.02291775298417,261.098637623634,4.763362376366061,0.0,9
1932,18.138,1.5903,0.0,17.956993300638104,0.1810066993618987,0.0,12
1933,980.1179999999999,1.5903,4907.226376829446,600.3183110541551,94.50694919141546,0.0,3
1934,1924.03,1.5903,15040.093072290547,788.4000000000001,236.48136697151992,0.0,0
1935,2171.6710000000003,1.5903,19247.973491815203,788.4000000000001,285.3991260605902,895.2382912674111,0
1936,55.066,1.5903,11937.089155639553,788.4000000000001,166.19731544534696,0.0,0
1937,356.80400000000003,1.5903,4202.493863970112,777.8716371007671,66.4760029087947,0.0,1
1938,135.507,1.5903,60.16242105348659,133.58496254511263,1.9220374548873853,0.0,10
1939,607.0649999999999,1.5903,1579.6807585075087,576.1290180561721,30.935981943827947,0.0,4
1940,1201.337,1.5903,6827.6095769792955,657.0,120.87297591555934,0.0,2
1941,659.945,1.5903,5946.309948983408,788.4000000000001,98.8946856962406,0.0,0
1942,50.524,1.5903,412.88358601807107,240.23322206230063,6.405116325898965,0.0,9
1943,387.185,1.5903,672.8673090736318,374.50360941933303,12.681390580666948,0.0,7
1944,461.337,1.5903,407.772424545944,403.3814632989929,12.447056824518418,0.0,7
1945,1442.934,1.5903,8560.523500722142,788.4000000000001,149.167582832143,0.0,0
1946,231.624,1.5903,3921.86719793836,723.7018241691337,58.797072875212194,0.0,1
1947,4134.499,1.5903,14588.614008925599,732.9303453115429,254.64154511985868,1206.9271095685986,1
1948,754.808,1.5903,20911.491451909875,788.4000000000001,284.0339209051001,356.5225754339742,0
1949,341.812,1.5903,12720.617802484641,788.4000000000001,183.05384790841993,0.0,0
1950,1642.371,1.5903,15304.242842612737,788.4000000000001,242.3839935511768,0.0,0
1951,93.261,1.5903,10564.317002674892,788.4000000000001,149.91178816213642,0.0,0
1952,143.46699999999998,1.5903,1929.97318601482,519.4736396329487,26.73923440624627,0.0,5
1953,117.835,1.5903,36.541747542512276,116.39492146550684,1.440078534493159,0.0,11
1954,81.44500000000001,1.5903,0.0,80.73774158150626,0.7072584184937473,0.0,12
1955,745.7429999999999,1.5903,2551.7167844432456,696.7194591701733,49.02354082982652,0.0,2
1956,1182.6009999999999,1.5903,6223.9090084659,722.7,112.32386803923053,0.0,1
1957,1012.701,1.5903,7645.219357846039,788.4000000000001,131.20438510542203,0.0,0
1958,11.611,1.5903,1663.5818814410936,431.4897280075572,20.795018847789294,0.0,6
1959,256.451,1.5903,99.9352700665712,252.74873509664374,3.7022649033562534,0.0,10
1960,2495.13,1.5903,14804.532771758366,657.0,234.1919650264926,393.5481275801917,2
1961,653.04,1.5903,14894.08042844498,788.4000000000001,214.38038220800198,0.0,0
1962,348.098,1.5903,8202.253041464706,788.4000000000001,124.26565407288274,0.0,0
1963,1174.471,1.5903,8505.876090113077,788.4000000000001,141.86204840960258,0.0,0
1964,2518.75,1.5903,17082.824396265907,788.4000000000001,273.0825784044472,511.52667896817,0
1965,963.943,1.5903,19101.177203415868,788.4000000000001,273.7646083758119,75.2928417693397,0
1966,393.11199999999997,1.5903,14227.141345531621,788.4000000000001,199.7949409836677,0.0,0
1967,1429.893,1.5903,14580.168354765621,788.4000000000001,230.20272039138132,0.0,0
1968,966.349,1.5903,16168.024871974518,788.4000000000001,237.22993101042823,0.0,0
1969,987.315,1.5903,15709.994349494906,788.4000000000001,232.33689676848707,0.0,0
1970,162.45800000000003,1.5903,8848.680714717728,788.4000000000001,127.90961410216885,0.0,0
1971,175.435,1.5903,1145.1200884735772,440.7110371849282,16.893974744005842,0.0,6
1972,22.186,1.5903,0.0,21.889823018803103,0.2961769811968963,0.0,12
1973,989.004,1.5903,4324.985216881499,664.2417693079005,86.7416164902807,0.0,3
1974,6533.206999999999,1.5903,17215.676419291132,788.4000000000001,289.15008011665213,4312.791734913115,0
1975,943.973,1.5903,18687.23799907941,788.4000000000001,267.3297738621683,0.0,0
1976,851.366,1.5903,17342.985704242667,788.4000000000001,246.41190765883653,0.0,0
1977,1169.61,1.5903,17065.310779987118,788.4000000000001,253.08202574445252,0.0,0
1978,423.595,1.5903,12822.88389705566,788.4000000000001,186.04243853360228,0.0,0
1979,123.20899999999999,1.5903,4188.593311890939,725.3196122184554,60.85304115453899,0.0,1
1980,595.408,1.5903,1755.9297605582933,564.7450695183412,30.6629304816587,0.0,4
1981,1448.039,1.5903,8693.940772452295,662.5669448083094,150.26271795654333,0.0,2
1982,150.351,1.5903,4119.815475049533,725.3283979065164,60.231939328630524,0.0,1
1983,1.4500000000000002,1.5903,0.0,1.4327252381703506,0.017274761829649578,0.0,12
1984,734.092,1.5903,2892.5285235688307,621.7118925461534,58.90303035236656,0.0,3
1985,6135.337,1.5903,16432.33422442408,788.4000000000001,282.23868332821127,3709.4495057966833,0
1986,2088.728,1.5903,19837.690848322323,788.4000000000001,289.9392298258348,1014.3381050089727,0
1987,750.665,1.5903,17523.51695977507,788.4000000000001,249.75876702257753,0.0,0
1988,823.4759999999999,1.5903,14552.992399639028,788.4000000000001,217.16000230578305,0.0,0
1989,3742.404,1.5903,17859.395797352034,788.4000000000001,288.1286129213503,1886.1567688319642,0
1990,444.277,1.5903,18890.36670281378,788.4000000000001,258.9445340657697,0.0,0
1991,227.099,1.5903,10012.692556503349,788.4000000000001,146.27704840836756,0.0,0
1992,293.546,1.5903,2903.4187171246385,653.6337569034307,44.184062682539086,0.0,3
1993,176.73899999999998,1.5903,46.61783648132441,174.1984372820463,2.540562717953699,0.0,11
1994,2.705,1.5903,0.0,2.670780612528694,0.03421938747130587,0.0,12
