,Data,Inflow,Net_evaporation,storage,vol_reg,evap,vol_vert,falha
0,1912-01-01,0.684,0.1291,970.0,65.7,14.089103327983667,0.0,0
1,1912-02-01,649.59,0.0909,890.8948966720162,65.7,14.735147244252936,0.0,0
2,1912-03-01,342.06,0.0716,1460.0497494277633,65.7,13.270626452322276,0.0,0
3,1912-04-01,203.98,0.0691,1723.139122975441,65.7,13.559732310905375,0.0,0
4,1912-05-01,32.009,0.0807,1847.8593906645358,65.7,15.501331015280996,0.0,0
5,1912-06-01,13.306,0.1177,1798.6670596492547,65.7,21.894145387697044,0.0,0
6,1912-07-01,0.0,0.1505,1724.3789142615578,65.7,26.81985109539213,0.0,0
7,1912-08-01,0.0,0.1742,1631.8590631661657,65.7,29.603294867842703,0.0,0
8,1912-09-01,0.0,0.1751,1536.555768298323,65.7,28.26818113776386,0.0,0
9,1912-10-01,0.0,0.1893,1442.5875871605595,65.7,28.95002174691594,0.0,0
10,1912-11-01,0.0,0.1719,1347.9375654136436,65.7,24.8196951344129,0.0,0
11,1912-12-01,0.0,0.1702,1257.4178702792308,65.7,23.15850917783973,0.0,0
12,1913-01-01,0.0,0.1291,1168.5593611013912,65.7,16.515490885668296,0.0,0
13,1913-02-01,84.729,0.0909,1086.343870215723,65.7,11.660664315040632,0.0,0
14,1913-03-01,401.68,0.0716,1093.7122059006824,65.7,11.321377050205527,0.0,0
15,1913-04-01,246.03,0.0691,1418.370828850477,65.7,11.970186121581584,0.0,0
16,1913-05-01,92.888,0.0807,1586.7306427288956,65.7,14.084727249152499,0.0,0
17,1913-06-01,7.28,0.1177,1599.8339154797432,65.7,19.768334041408348,0.0,0
18,1913-07-01,0.0,0.1505,1521.6455814383348,65.7,24.109167858223053,0.0,0
19,1913-08-01,0.0,0.1742,1431.8364135801119,65.7,26.48050313737117,0.0,0
20,1913-09-01,0.0,0.1751,1339.6559104427406,65.7,25.147164064234644,0.0,0
21,1913-10-01,0.0,0.1893,1248.808746378506,65.7,25.595025089809898,0.0,0
22,1913-11-01,0.0,0.1719,1157.5137212886962,65.7,21.79054056625688,0.0,0
23,1913-12-01,1.76,0.1702,1070.0231807224393,65.7,20.200474642880415,0.0,0
24,1914-01-01,530.34,0.1291,985.8827060795587,65.7,20.62826115129961,0.0,0
25,1914-02-01,630.76,0.0909,1429.8944449282592,65.7,18.8739123865124,36.080532541746834,0
26,1914-03-01,313.81,0.0716,1940.0,65.7,16.048880440694642,232.0611195593051,0
27,1914-04-01,23.661,0.0691,1940.0,65.7,13.778001202935368,0.0,0
28,1914-05-01,1.337,0.0807,1884.1829987970648,65.7,15.540952774237415,0.0,0
29,1914-06-01,0.0,0.1177,1804.2790460228275,65.7,21.81502021293408,0.0,0
30,1914-07-01,0.0,0.1505,1716.7640258098936,65.7,26.718984632681224,0.0,0
31,1914-08-01,0.0,0.1742,1624.3450411772124,65.7,29.487127631808107,0.0,0
32,1914-09-01,0.0,0.1751,1529.1579135454042,65.7,28.15211702922614,0.0,0
